#
# Citizen of eChile
#
# Published by iVicentico
# 

# date, citizen
#----------------
2009-10-03,511
2009-10-04,524
2009-10-05,536
2009-10-06,354
2009-10-08,379
2009-10-09,339
2009-10-10,328
2009-10-11,370
2009-10-12,354
2009-10-13,358
2009-10-14,446
2009-10-15,472
2009-10-16,425
2009-10-17,428
2009-10-18,484
2009-10-19,530
2009-10-20,366
2009-10-21,502
2009-10-22,518
2009-10-23,489
2009-10-24,561
2009-10-25,576
2009-10-26,654
2009-10-27,554
2009-10-28,581
2009-10-29,594
2009-10-30,620
2009-10-31,643
2009-11-01,626
2009-11-02,648
2009-11-03,673
2009-11-04,677
2009-11-05,665
2009-11-06,614
2009-11-07,678
2009-11-08,622
2009-11-09,609
2009-11-10,661
2009-11-11,625
2009-11-12,675
2009-11-13,647
2009-11-14,554
2009-11-15,636
2009-11-16,669
2009-11-17,585
2009-11-18,679
2009-11-20,691
2009-11-21,608
2009-11-22,580
2009-11-23,656
2009-11-24,542
2009-11-25,596
2009-11-26,551
2009-11-27,541
2009-11-28,489
2009-11-29,496
2009-11-30,515
2009-12-01,533
2009-12-02,519
2009-12-03,522
2009-12-04,557
2009-12-05,448
2009-12-06,497
2009-12-07,466
2009-12-08,490
2009-12-09,481
2009-12-10,534
2009-12-11,501
2009-12-12,503
2009-12-13,507
2009-12-14,523
2009-12-15,497
2009-12-16,479
2009-12-17,464
2009-12-18,456
2009-12-19,438
2009-12-20,457
2009-12-21,431
2009-12-22,485
2009-12-23,476
2009-12-24,452
2009-12-25,418
2009-12-26,384
2009-12-27,406
2009-12-29,482
2009-12-30,384
2009-12-31,412
2010-01-01,309
2010-01-02,387
2010-01-03,343
2010-01-04,377
2010-01-05,356
2010-01-06,377
2010-01-07,353
2010-01-08,367
2010-01-09,348
2010-01-10,334
2010-01-11,399
2010-01-12,419
2010-01-13,441
2010-01-14,435
2010-01-15,453
2010-01-16,421
2010-01-17,432
2010-01-25,595
2010-01-26,408
2010-01-27,424
2010-01-28,435
2010-01-29,408
2010-01-30,371
2010-01-31,393
2010-02-01,314
2010-02-02,451
2010-02-03,433
2010-02-04,423
2010-02-05,423
2010-02-06,376
2010-02-07,381
2010-02-08,446
2010-02-09,438
2010-02-10,407
2010-02-11,453
2010-02-12,461
2010-02-13,451
2010-02-14,433
2010-02-15,469
2010-02-16,464
2010-02-17,490
2010-02-18,482
2010-02-19,511
2010-02-20,469
2010-02-21,497
2010-02-22,547
2010-02-23,548
2010-02-24,482
2010-02-25,507
2010-02-26,490
2010-02-28,376
2010-03-01,337
2010-03-02,362
2010-03-03,382
2010-03-04,394
2010-03-05,409
2010-03-06,402
2010-03-07,419
2010-03-08,388
2010-03-09,433
2010-03-10,423
2010-03-11,418
2010-03-12,410
2010-03-13,403
2010-03-14,423
2010-03-15,401
2010-03-16,448
2010-03-17,391
2010-03-18,412
2010-03-19,417
2010-03-20,433
2010-03-21,406
2010-03-22,395
2010-03-23,431
2010-03-24,433
2010-03-25,441
2010-03-26,446
2010-03-27,435
2010-03-28,437
2010-03-29,399
2010-03-30,413
2010-03-31,395
2010-04-01,400
2010-04-02,400
2010-04-03,378
2010-04-04,396
2010-04-05,375
2010-04-06,390
2010-04-07,409
2010-04-08,346
2010-04-09,440
2010-04-10,369
2010-04-11,452
2010-04-12,394
2010-04-13,439
2010-04-14,419
2010-04-15,473
2010-04-16,449
2010-04-17,461
2010-04-18,475
2010-04-19,452
2010-04-20,456
2010-04-21,455
2010-04-22,422
2010-04-23,419
2010-04-24,417
2010-04-25,471
2010-04-26,404
2010-04-27,407
2010-04-28,416
2010-04-29,415
2010-04-30,427
2010-05-01,388
2010-05-02,441
2010-05-03,406
2010-05-04,456
2010-05-05,422
2010-05-06,401
2010-05-07,414
2010-05-08,420
2010-05-09,387
2010-05-10,411
2010-05-11,378
