#
# Members of the chilean political parties
#
# Published by iVicentico
# 

# date, MAS , PNR , PR , CU , USI-PMC , PDD , UDL , PC , PeCh , PSD , FOI
#----------------

2009-08-26,121,105,48,40,42,0,0,0,0,0,0
2009-08-27,119,103,46,38,43,0,0,0,0,0,0
2009-08-28,115,103,46,36,43,0,0,0,0,0,0
2009-08-29,114,103,45,35,41,0,0,0,0,0,0
2009-08-30,110,102,44,35,40,0,0,0,0,0,0
2009-08-31,113,102,45,37,40,0,0,0,0,0,0
2009-09-01,107,103,41,41,41,0,0,0,0,0,0
2009-09-02,105,103,40,42,41,0,0,0,0,0,0
2009-09-03,102,101,40,42,41,0,0,0,0,0,0
2009-09-04,101,102,37,43,42,0,0,0,0,0,0
2009-09-05,103,101,38,43,42,0,0,0,0,0,0
2009-09-06,99,100,37,41,41,0,0,0,0,0,0
2009-09-07,102,100,37,40,43,0,0,0,0,0,0
2009-09-08,99,100,37,41,44,0,0,0,0,0,0
2009-09-09,99,99,37,41,47,0,0,0,0,0,0
2009-09-10,102,97,39,42,47,0,0,0,0,0,0
2009-09-11,101,97,41,43,49,0,0,0,0,0,0
2009-09-12,98,100,42,42,51,0,0,0,0,0,0
2009-09-13,98,102,42,43,51,0,0,0,0,0,0
2009-09-14,102,107,44,42,52,0,0,0,0,0,0
2009-09-15,99,105,46,45,54,0,0,0,0,0,0
2009-09-16,101,108,50,45,54,0,0,0,0,0,0
2009-09-17,101,110,50,42,56,0,0,0,0,0,0
2009-09-18,101,108,51,46,55,0,0,0,0,0,0
2009-09-19,100,111,50,47,55,0,0,0,0,0,0
2009-09-20,100,115,49,46,55,0,0,0,0,0,0
2009-09-21,101,114,49,46,53,0,0,0,0,0,0
2009-09-22,100,115,48,45,53,0,0,0,0,0,0
2009-09-23,100,119,49,46,54,0,0,0,0,0,0
2009-09-24,100,119,50,46,54,0,0,0,0,0,0
2009-09-25,101,121,50,46,54,0,0,0,0,0,0
2009-09-26,103,121,48,46,51,0,0,0,0,0,0
2009-09-27,103,122,49,45,51,0,0,0,0,0,0
2009-09-28,102,124,50,45,52,0,0,0,0,0,0
2009-09-29,99,123,51,48,52,0,0,0,0,0,0
2009-09-30,100,127,51,49,52,0,0,0,0,0,0
2009-10-01,100,131,52,48,50,0,0,0,0,0,0
2009-10-02,100,132,53,48,50,0,0,0,0,0,0
2009-10-03,99,127,53,47,52,0,0,0,0,0,0
2009-10-04,96,124,52,46,51,0,0,0,0,0,0
2009-10-05,98,126,52,47,51,0,0,0,0,0,0
2009-10-06,97,126,48,47,48,0,0,0,0,0,0
2009-10-07,97,127,48,47,49,0,0,0,0,0,0
2009-10-08,97,124,47,46,49,0,0,0,0,0,0
2009-10-09,98,129,47,44,51,0,0,0,0,0,0
2009-10-10,99,131,45,46,52,0,0,0,0,0,0
2009-10-11,100,131,44,42,52,0,0,0,0,0,0
2009-10-12,103,131,44,42,53,0,0,0,0,0,0
2009-10-13,104,133,43,42,55,0,0,0,0,0,0
2009-10-14,102,135,45,40,53,0,0,0,0,0,0
2009-10-15,100,140,41,38,53,0,0,0,0,0,0
2009-10-16,107,142,38,34,54,0,0,0,0,0,0
2009-10-17,110,146,37,33,56,0,0,0,0,0,0
2009-10-18,114,151,39,32,56,0,0,0,0,0,0
2009-10-19,122,154,39,33,56,0,0,0,0,0,0
2009-10-20,128,156,40,32,57,0,0,0,0,0,0
2009-10-21,135,156,41,31,57,0,0,0,0,0,0
2009-10-22,138,164,45,32,58,0,0,0,0,0,0
2009-10-23,140,166,48,30,59,0,0,0,0,0,0
2009-10-24,143,176,48,30,61,0,0,0,0,0,0
2009-10-25,146,175,52,33,57,0,0,0,0,0,0
2009-10-26,151,178,50,30,59,0,0,0,0,0,0
2009-10-27,156,183,52,28,60,0,0,0,0,0,0
2009-10-28,163,185,51,27,61,0,0,0,0,0,0
2009-10-29,164,193,55,29,62,0,0,0,0,0,0
2009-10-30,168,197,59,28,64,0,0,0,0,0,0
2009-10-31,172,205,60,29,63,0,0,0,0,0,0
2009-11-01,173,206,61,28,63,0,0,0,0,0,0
2009-11-02,178,210,62,30,61,0,0,0,0,0,0
2009-11-03,179,210,63,30,62,0,0,0,0,0,0
2009-11-04,189,212,65,31,65,0,0,0,0,0,0
2009-11-05,190,220,65,31,65,10,0,0,0,0,0
2009-11-06,191,219,65,32,65,11,0,0,0,0,0
2009-11-07,197,223,68,32,66,11,0,0,0,0,0
2009-11-08,198,228,66,31,66,12,0,0,0,0,0
2009-11-09,201,230,66,30,66,12,0,0,0,0,0
2009-11-10,204,232,68,29,68,13,0,0,0,0,0
2009-11-12,201,240,72,29,65,12,0,0,0,0,0
2009-11-13,202,240,72,30,64,12,0,0,0,0,0
2009-11-14,202,245,73,30,65,12,0,0,0,0,0
2009-11-15,204,245,75,36,63,16,7,0,0,0,0
2009-11-16,207,240,75,39,63,16,16,0,0,0,0
2009-11-17,206,238,74,35,62,17,18,0,0,0,0
2009-11-18,202,232,75,27,60,16,24,0,0,0,0
2009-11-20,199,227,78,26,63,17,28,0,0,0,0
2009-11-21,185,219,76,25,63,17,29,0,0,0,0
2009-11-22,179,220,75,27,61,17,29,0,0,0,0
2009-11-23,177,219,77,27,60,18,31,0,0,0,0
2009-11-24,179,218,76,35,60,18,37,0,0,0,0
2009-11-25,180,215,76,38,61,17,40,0,0,0,0
2009-11-26,175,212,75,29,61,17,42,0,0,0,0
2009-11-27,178,206,72,28,61,16,41,0,0,0,0
2009-11-28,183,198,70,26,62,17,39,0,0,0,0
2009-11-29,178,196,70,26,61,18,40,0,0,0,0
2009-11-30,177,202,69,24,63,18,39,0,0,0,0
2009-12-01,178,204,71,25,63,16,40,0,0,0,0
2009-12-02,180,205,70,25,63,17,39,0,0,0,0
2009-12-03,176,202,69,25,66,16,38,0,0,0,0
2009-12-04,177,202,69,24,66,16,38,0,0,0,0
2009-12-05,177,202,69,23,66,16,38,0,0,0,0
2009-12-06,179,202,66,23,63,14,38,0,0,0,0
2009-12-07,181,201,65,22,62,14,40,0,0,0,0
2009-12-08,180,202,64,22,62,14,41,0,0,0,0
2009-12-09,181,202,63,22,62,14,43,0,0,0,0
2009-12-10,182,202,63,21,62,13,44,0,0,0,0
2009-12-11,182,204,64,21,62,12,49,0,0,0,0
2009-12-12,192,206,65,20,61,12,53,0,0,0,0
2009-12-13,190,209,65,20,62,13,55,0,0,0,0
2009-12-14,187,205,64,19,62,13,54,0,0,0,0
2009-12-15,177,197,64,23,61,12,51,0,0,0,0
